dev_id,timestamp,p_temperature,p_humidity,p_pm25,p_pm10,p_count,p_pm_sensor_count,p_temphum_sensor_count,p_corrected,p_display
nesta-11,1579787106316070000,11.0,65.0,14,13,230,6,1,False,True
nesta-1,1579787106436135000,null,null,10,9,176,8,0,False,True
nesta-12,1579787106757751000,10.0,70.0,12,10,187,8,1,False,True
nesta-8,1579787106946875000,17.0,46.0,13,12,182,6,1,False,True
nesta-5,1579787107039675000,null,null,15,12,208,6,0,False,True
nesta-7,1579787107470726000,15.0,48.0,17,14,145,4,1,False,True
nesta-4,1579787107596559000,11.0,65.0,13,10,180,5,1,False,True
aurn-4,1579787107843216000,8.0,14.0,9,10,141,7,3,False,True
b2-new-forest,1579787107879807000,10.0,100.0,21,16,16,4,1,False,True
aurn-3,1579787107903803000,18.0,40.0,7,8,181,6,1,False,True
aurn-2,1579787108012072000,5.0,3.0,9,10,73,9,2,False,True
aurn-1,1579787108426565000,6.0,36.0,9,10,149,9,3,False,True
b1-lanchester,1579787111528889000,8.0,99.0,17,13,22,5,1,False,True
nesta-2-1,1579787112401906000,12.0,76.0,11,10,162,6,1,False,True
nesta-6,1579787996498847000,16.0,45.0,17,14,244,6,1,False,True
nesta-4,1579788006747538000,12.0,64.0,14,11,193,5,1,False,True
nesta-12,1579788007191464000,10.0,69.0,13,12,206,8,1,False,True
nesta-8,1579788007283443000,17.0,47.0,13,12,178,6,1,False,True
nesta-11,1579788007325312000,11.0,65.0,13,12,211,6,1,False,True
nesta-1,1579788007567096000,null,null,10,9,181,8,0,False,True
aurn-1,1579788007860166000,7.0,34.0,9,10,134,9,3,False,True
nesta-7,1579788007874358000,15.0,48.0,17,14,145,4,1,False,True
b2-new-forest,1579788007875103000,9.0,100.0,23,18,17,4,1,False,True
nesta-5,1579788007997504000,null,null,16,14,230,6,0,False,True
aurn-3,1579788008473368000,18.0,40.0,6,7,162,6,1,False,True
aurn-2,1579788008489781000,5.0,3.0,9,10,65,10,2,False,True
aurn-4,1579788008886035000,8.0,14.0,8,10,125,7,3,False,True
b1-lanchester,1579788012581314000,8.0,99.0,17,13,22,5,1,False,True
nesta-2-1,1579788012985774000,12.0,96.0,12,11,179,6,1,False,True
nesta-6,1579788895551019000,16.0,45.0,15,13,214,6,1,False,True
nesta-1,1579788905806757000,null,null,10,9,179,8,0,False,True
nesta-4,1579788906210727000,12.0,62.0,13,10,179,5,1,False,True
nesta-8,1579788906703650000,17.0,58.0,14,12,187,6,1,False,True
aurn-1,1579788906864702000,7.0,34.0,11,11,156,8,3,False,True
nesta-7,1579788906886630000,15.0,48.0,16,13,139,4,1,False,True
aurn-4,1579788907164499000,8.0,14.0,9,11,150,7,3,False,True
aurn-3,1579788907294131000,18.0,39.0,8,9,198,6,1,False,True
b2-new-forest,1579788907378076000,10.0,100.0,24,19,18,4,1,False,True
nesta-5,1579788907529654000,null,null,15,13,224,6,0,False,True
nesta-12,1579788907667266000,10.0,68.0,13,11,204,8,1,False,True
nesta-2-1,1579788911288221000,12.0,61.0,12,10,158,6,1,False,True
b1-lanchester,1579788912165936000,8.0,99.0,19,14,24,5,1,False,True
nesta-6,1579789795699319000,16.0,44.0,17,15,239,6,1,False,True
nesta-11,1579789806353661000,11.0,64.0,14,12,219,6,1,False,True
nesta-1,1579789806714075000,null,null,11,10,191,8,0,False,True
nesta-12,1579789806990425000,10.0,68.0,13,12,213,8,1,False,True
nesta-4,1579789807039214000,12.0,63.0,14,11,193,5,1,False,True
nesta-5,1579789807089855000,null,null,15,13,210,6,0,False,True
aurn-1,1579789807677059000,7.0,34.0,11,12,153,8,3,False,True
nesta-7,1579789807752682000,15.0,47.0,17,14,147,4,1,False,True
aurn-4,1579789807976114000,9.0,14.0,10,11,147,7,3,False,True
aurn-2,1579789808019850000,5.0,4.0,10,10,78,9,2,False,True
b2-new-forest,1579789808081441000,9.0,100.0,25,20,19,4,1,False,True
b1-lanchester,1579789811138720000,8.0,99.0,18,13,23,5,1,False,True
nesta-2-1,1579789813007376000,13.0,60.0,12,11,175,6,1,False,True
nesta-6,1579790696439149000,16.0,44.0,17,15,255,6,1,False,True
nesta-1,1579790706391280000,null,null,13,11,217,8,0,False,True
nesta-4,1579790706773209000,12.0,63.0,16,13,222,5,1,False,True
nesta-11,1579790706854954000,11.0,66.0,16,14,272,6,1,False,True
nesta-7,1579790707164486000,15.0,46.0,17,14,145,4,1,False,True
nesta-5,1579790707267428000,null,null,15,13,215,6,0,False,True
nesta-12,1579790707424546000,10.0,69.0,13,12,212,8,1,False,True
aurn-2,1579790707543477000,5.0,3.0,10,10,73,10,2,False,True
b2-new-forest,1579790707601285000,9.0,100.0,26,21,19,4,1,False,True
aurn-3,1579790707919188000,18.0,39.0,7,9,188,6,1,False,True
aurn-4,1579790708554023000,8.0,14.0,9,13,135,7,3,False,True
b1-lanchester,1579790710877362000,8.0,98.0,20,15,26,5,1,False,True
nesta-2-1,1579790712936476000,13.0,60.0,17,15,254,6,1,False,True
nesta-6,1579791596525680000,16.0,44.0,17,14,247,6,1,False,True
nesta-11,1579791606662594000,11.0,67.0,22,21,363,6,1,False,True
nesta-8,1579791606905356000,17.0,46.0,16,14,213,6,1,False,True
nesta-12,1579791607015151000,10.0,69.0,15,13,247,8,1,False,True
