X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-1.4185301,50.9343643,351 Winchester Road,,,,,,"-1","0","-1",,
-1.463459,50.9202568,A33,,,,,,"-1","0","-1",,
-1.4634729,50.9202624,A33 Monitoring Station,,,,,,"-1","0","-1",,
-1.3937597,50.9250124,30 Addis Square,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 442703 114127<br><br>2012 = Location established<br>2013 = 37 ug/m3 with 92% data capture<br>2014 = 35.2 ug/m3 with 100% data capture<br>2015 = 32.5 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3955723,50.9171244,72 Bevois Valley Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>4.5 metres from the kerb<br>Receptor is 5 metres from the kerb<br><br>Grid reference 442,585 - 113,250<br><br>2002 = location established<br>2003 = 47.4 ug/m3 with 33% data capture<br>2004 = 37.1 ug/m3 with 83% data capture<br>2005 = 37.41 ug/m3 with 17% data capture<br>2006 = site discontinued<br>2007 = location established<br>2008 = 42.7 ug/m3 with 100% data capture<br>2009 = 45.5 ug/m3 with 92% data capture<br>2010 = 40.7 ug/m3 with 100% data capture<br>2011 = 37 ug/m3 with 91% data capture<br>2012 = 38.7 ug/m3 with 100% data capture<br>2013 = 41.17 ug/m3 with 83% data capture<br>2014 = 38.9 ug/m3 with 92% data capture<br>2015 = 37.2 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3735599,50.9176793,"Bitterne Library, Bitterne Road","Nitrogen Dioxide Diffusion Tube Operational<br><br>3.5 metres from the kerb<br>Receptor is 2.8 metres from the kerb<br><br>Grid reference 444,134 - 113,311<br><br>2006 = location established<br>2007 = 38.3 ug/m3 with 100% data capture<br>2008 = 43.9 ug/m3 with 67% data capture<br>2009 = 42.5 ug/m3 with 92% data capture<br>2010 = 35.8 ug/m3 with 100% data capture<br>2011 = 36.8 ug/m3 with 100% data capture<br>2012 = 39.5 ug/m3 with 91% data capture<br>2013 = 39.7 ug/m3 with 83% data capture<br>2014 = 39.5 ug/m3 with 92% data capture<br>2015 = 32.8 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3760368,50.9176363,166A Bitterne Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>Grid reference: 443959 113317<br><br>2014 = Location established<br>2015 = 36.9 ug/m3 with 58% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.3736804,50.9173779,206 Bitterne Road,"Nitrogen Dioxide Diffusion Tube Operational<br><br>5 metres from the kerb<br>Receptor is 5 metres from the kerb<br><br>Grid reference 444,124 - 113,290<br><br>2006 = location established<br>2007 = 43.1 ug/m3 with 91% data capture<br>2008 = 38.6 ug/m3 with 100% data capture<br>2009 = 39.5 ug/m3 with 92% data capture<br>2010 = 37.3 ugm3 with 100% data capture<br>2011 = 34.5 ug/m3 with 100% data capture<br>2012 = 38.9 ug/m3 with 91% data capture<br>2013 = 39.9 ug/m3 with 100% data capture<br>2014 = 37.9 ug/m3 with 100% data capture<br>2015 = 34.9 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
-1.395787,50.908166,Brintons Road 1,"Nitrogen Dioxide Diffusion Tube Operational<br>Automatic Monitoring Station<br>12 metres from the kerb Receptor is 12 metres from the kerb<br><br>Grid reference 442,565 - 112,2552001 <br><br>2001 = location established<br>2002 = 30.2 ug/m3 (no data for data capture) <br>2003 = 41.9 ug/m3 with 58% data capture<br>2004 = 33 ug/m3 with 100% data capture<br>2005 = 32.16 ug/m3 with 83% data capture<br>2006 = 31.6 ug/m3 with 100% data capture<br>2007 = 34.4 ug/m3 with 100% data capture}2008 = 37.7 ug/m3 with 100% data capture<br>2009 = 37.3 ug/m3 with 83% data capture<br>2010 = 31.6 ug/m3 with 100% data capture<br>2011 = 26.9 ug/m3 with 100% data capture<br>2012 = 29.1 ug/m3 with 100% data capture<br>2013 = 29.5 ug/m3 with 92% data capture<br>2014 = 29.2 ug/m3 with 92% data capture<br>2015 = 25.4 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means",,,,,"-1","0","-1",,
-1.3957772,50.9081658,Brintons Road 2,"Nitrogen Dioxide Diffusion Tube Operational<br>Automatic Monitoring Station<br><br>12 metres from the kerb<br>Receptor is 12 metres from the kerb<br><br>Grid reference 442,565 - 112,255<br><br>2006 = location established<br>2007 = 33.4 ug/m3 with 66% data capture<br>2008 = 34.2 ug/m3 with 100% data capture<br>2009 = 35.9 ug/m3 with 83% data capture<br>2010 = 31.4 ug/m3 with 100% data capture<br>2011 = 27.8 ug/m3 with 100% data capture<br>2012 = 29.1 ug/m3 with 100% data capture<br>2013 = 29.4 ug/m3 with 92% data capture<br>2014 = 29.2 ug/m3 with 92% data capture<br>2015 = 25.9 ug/m3 with 100% data capture<br><br>Scaled factor of 0.91 for 2015 & 2014, 0.95 for 2013, 0.97 for 2012, 0.89 for 2011, 0.9 for 2010-2007, 0.76 for 2006, 0.86 for 2005, 0.904 for 2004, 0.975 for 2003 and 0.73 for 2002.<br><br>All scaled annual means.",,,,,"-1","0","-1",,
