,__id_left,__id_right,match_score,match_rank,ADDRESS,Name
0,0_left,52_right,0.2685636775867659,1,6 SANDRINGHAM ROAD,6 SANDRINGHAM ROAD
1,1_left,61_right,0.35158365780601897,1,REDBRIDGE SCHOOL AMS (FENCE),REDBRIDGE SCHOOL FENCE
2,2_left,13_right,0.2660102897164279,1,64 BURGESS ROAD,64 BURGESS ROAD 1
3,3_left,26_right,0.2320000104864974,1,485 MILLBROOK ROAD,485 MILLBROOK ROAD
4,4_left,43_right,0.6195178239207724,1,REGENTS PARK JUNCTION,REGENTS PARK JUNCTION
5,5_left,45_right,0.19631976642849341,1,2 ROMSEY ROAD,2 ROMSEY ROAD
6,6_left,19_right,0.2792275222475778,1,CRANBURY PLACE,CRANBURY PLACE
7,7_left,4_right,0.44325440869879895,1,72 BEVOIS VALLEY,72 BEVOIS VALLEY ROAD
8,8_left,8_right,0.22672126074998908,1,BRINTONS ROAD 1,BRINTONS ROAD 1
9,9_left,9_right,0.2208515521147997,1,BRINTONS ROAD 2,BRINTONS ROAD 2
10,10_left,10_right,0.23675559393878845,1,BRINTONS ROAD 3,BRINTONS ROAD 3
11,11_left,7_right,0.23846067802036783,1,206 BITTERNE ROAD,206 BITTERNE ROAD
12,12_left,5_right,0.24759927299582382,1,BITTERNE LIBRARY,"BITTERNE LIBRARY, BITTERNE ROAD"
13,13_left,41_right,0.2320000104864974,1,54 REDBRIDGE ROAD,54 REDBRIDGE ROAD
14,14_left,42_right,0.2320000104864974,1,57 REDBRIDGE ROAD,57 REDBRIDGE ROAD
15,15_left,34_right,-0.00751526584988774,1,VICTORIA ROAD/PORTSMOUTH ROAD JCN,"PORTSMOUTH ROAD, DENTIST"
16,15_left,35_right,-0.00751526584988774,2,VICTORIA ROAD/PORTSMOUTH ROAD JCN,24 PORTSMOUTH ROAD
17,15_left,36_right,-0.00751526584988774,3,VICTORIA ROAD/PORTSMOUTH ROAD JCN,35 PORTSMOUTH ROAD
18,15_left,18_right,-0.254934704449488,4,VICTORIA ROAD/PORTSMOUTH ROAD JCN,CONISTON ROAD
